Model ID,Type,Base Model,Task,Library,License,Download,Model Category,Datasets,Missing Type
Eryk-Chmielewski/_adapter,,,,,,0,Unknown,,
Lucydamasco/3000,,,,,,0,Unknown,,
ImagineIt/Article_Writer_72B-HF,,,,,,6,Unknown,,
jwuthri/autonlp-shipping_status_2-27366103,,,text-classification,transformers,,23,NLP,jwuthri/autonlp-data-shipping_status_2,
mradermacher/Gemma-Ko-7B-SFT-MODEL-GGUF,,,,transformers,,22,Unknown,,
Frikallo/DeepLeffen-TSM_Leffen,,,text-generation,transformers,mit,23,NLP,,
jlbaker361/vanilla_5006,,,,,,0,Unknown,,
bot123r/mandy,,,,,,0,Unknown,,
barunparua/gemma-3-peft-finetuned-resta,,,text-generation,transformers,,10,NLP,,
raulsofia/my_awesome_model,,,,,,0,Unknown,,
qfq/Qwen2.5-32B-Instruct-20250110_090912,finetune,Qwen/Qwen2.5-32B-Instruct,text-generation,transformers,,11,NLP,,
eric-hugging-cn/gn-model-0410,,,,,,22,Unknown,,
wrannaman/test-json-train,adapter,meta-llama/Llama-2-7b-chat-hf,,peft,,27,Unknown,,
Pavlaki/FromCivit,,,,,,0,Unknown,,
RichardErkhov/aidev08_-_phi-3-mini-4k-instruct-qlora-mental_health_counseling_conversations-gguf,,,,,,3,Unknown,,
zytlon/5DACFwSSueVfoFYoJkVhPMjv2YepXnMM6cKgN3rXh8kVa1M3,,,,tf-keras,,1,Unknown,,
tensorblock/occiglot-7b-es-en-instruct-GGUF,quantized,occiglot/occiglot-7b-es-en-instruct,text-generation,,apache-2.0,24,NLP,,
caasman/klue-roberta-base-klue-sts-mrc,finetune,caasman/klue-roberta-base-klue-sts,sentence-similarity,sentence-transformers,,7,NLP,,
allura-forge/toasted-scout-adapter-qlora,adapter,allura-forge/l4-scout-linearized-nf4-fixed,,peft,other,0,Unknown,"ToastyPigeon/new-story-dataset, ToastyPigeon/SpringDragon-Instruct, allura-org/fujin-instruct-v2, ToastyPigeon/some-rp-extended",
Sayalik45/tts-1,,,,transformers,,0,Unknown,,
Downfall101/Shiokonbu-v1-PDXL,,,,,,0,Unknown,,
mpasila/LLaMA2-13B-Psyfighter2-exl2-3bpw,,,text-generation,transformers,llama2,11,NLP,,
simonycl/best_model-yelp_polarity-16-42,finetune,albert/albert-base-v2,text-classification,transformers,apache-2.0,34,NLP,,
naivoder/q-Taxi-v3,,,reinforcement-learning,,,0,Reinforcement Learning,,
Someman/bart-hindi,finetune,facebook/bart-base,summarization,transformers,apache-2.0,47,NLP,Someman/hindi-summarization,
WernerDeux/colossus-project-xl-sfwns,,,,,unknown,0,Unknown,,
CatBarks/bertES_AsSOriginal_tokenizer,,,,transformers,,0,Unknown,,
calibration-tuning/Mistral-7B-Instruct-v0.2-ct-oe,finetune,mistralai/Mistral-7B-Instruct-v0.2,,transformers,apache-2.0,0,Unknown,calibration-tuning/Mistral-7B-Instruct-v0.2-20k-oe,
ProbeX/Model-J__ResNet__model_idx_0441,,,,,,47,Unknown,,
mrcuddle/DarkHermes3-3B-Humanlike,finetune,mrcuddle/Dark-Hermes3-Llama3.2-3B,text-generation,transformers,other,9,NLP,HumanLLMs/Human-Like-DPO-Dataset,
LHRuig/dxtmrgn,adapter,black-forest-labs/FLUX.1-dev,text-to-image,diffusers,,2,CV,,
mobashgr/BioRED-Dis-Original-512-SciBERT,,,token-classification,transformers,,21,NLP,,
merazul/img,,,,,,0,Unknown,,
RichardErkhov/wkshin89_-_Yi-Ko-6B-Instruct-v1.1-gguf,,,,,,34,Unknown,,
phospho-app/block_to_round_box-2oovhd9h38,,,,,,0,Unknown,,
golaststep/48os02,,,,diffusers,,2,Unknown,,
bauka03/bauka-lora,,,,,other,1,Unknown,,
lsnoo/wav2vec2_zh_CN,,,,,,0,Unknown,,
downtown1/google-gemma-2b-1727798635,adapter,google/gemma-2b,,peft,,21,Unknown,,
LHRuig/adammssx,adapter,black-forest-labs/FLUX.1-dev,text-to-image,diffusers,,2,CV,,
mhbkb/stable-diffusion-xl-base-1.0-text-to-image-1,,,,,,0,Unknown,,
jutxa/naschain,,,,,,0,Unknown,,
linger2334/Qwen-Qwen1.5-0.5B-1725334734,adapter,Qwen/Qwen1.5-0.5B,,peft,,3,Unknown,,
wan202101/Gemma-2B-2,,,,,,18,Unknown,,
sazzad1012/Qwen2-0.5B-GRPO-test,,,,,,0,Unknown,,
MaziyarPanahi/Fireball-R1.1-Llama-3.1-8B-GGUF,quantized,EpistemeAI/Fireball-R1.1-Llama-3.1-8B,text-generation,,,11,NLP,,
JJT007/bart-chinese-higher-dropout,,,text2text-generation,transformers,,16,NLP,,
hsalehILB/pruned_audio_model,,,audio-classification,transformers,,19,Audio,,prune（from name）
linger2334/Qwen-Qwen1.5-7B-1726188208,adapter,Qwen/Qwen1.5-7B,,peft,,2,Unknown,,
Krabat/google-gemma-2b-1722786949,adapter,google/gemma-2b,,peft,,8,Unknown,,
prxy5608/ad099f6d-c37c-47a5-94e3-5b34caf3a202,adapter,trl-internal-testing/tiny-random-LlamaForCausalLM,,peft,,5,Unknown,,
apersonnaz/vit-base-patch16-224-in21k-finetuned-lora-crystals_n_epoch15_LoRA_r25_LoRA_alpha30_batch_size128,,,,,,0,Unknown,,
redsat/model,finetune,atlasia/XLM-RoBERTa-Morocco,fill-mask,transformers,mit,27,NLP,,
winnieyangwannan/entity_Llama-3.1-8B-Instruct_mlp-down_negative-addition_last_layer_4_2_song_3_49,,,text-generation,transformers,,10,NLP,,
aspis/llama3_oeq_generation_pt-br_v0.1,finetune,unsloth/llama-3-8b-bnb-4bit,,transformers,apache-2.0,0,Unknown,,
infogeo/5fb4445b-82b2-4e65-af0b-51129529e216,adapter,tiiuae/Falcon3-1B-Base,,peft,other,27,Unknown,,
RichardErkhov/ZeroXClem_-_Qwen2.5-7B-Qandora-CySec-8bits,,,,,,4,Unknown,,
jjzha/jobspanbert-base-cased,,,,transformers,,292,Unknown,,
jahyungu/llama3.1-8b-inst-metamath,,,,,,10,Unknown,,
mahesh2238/Thai_LLM,,,text-generation,transformers,,10,NLP,,
gratefulasi/lumeleto-mistral-7b,,,,,apache-2.0,0,Unknown,,
SALUTEASD/Qwen-Qwen1.5-0.5B-1726510025,adapter,Qwen/Qwen1.5-0.5B,,peft,,3,Unknown,,
antimony13/miniprojectspam,,,text-classification,transformers,,44,NLP,,
nxmwxm/my_summerizer,,,text2text-generation,transformers,,37,NLP,,
sleepdeprived3/Llama-3.3-T4,,,,,other,0,Unknown,,
bang-bot/llama3.2_nli,adapter,meta-llama/Llama-3.2-1B,,peft,,4,Unknown,,
mamung/057d8f2a-c7ea-455d-8071-6a063e3512cb,,,,,,0,Unknown,,
Deigant/t5-base-finetuned-qg-context-dataset,,,text2text-generation,transformers,apache-2.0,14,NLP,,
LeeCooper212/BlogGenerator,,,,,mit,0,Unknown,,
novowels/seizamix,,,,,,0,Unknown,,
oknMswoztTPaAVreBrWy/TinyStories-tokenizer-5k,,,,,,0,Unknown,,
anyspeech/ipa-seg-tiny-speech,,,,transformers,,34,Unknown,,
xueyj/google-gemma-2b-1725632846,adapter,google/gemma-2b,,peft,,35,Unknown,,
existsport/Qwen-Qwen1.5-1.8B-1724342885,adapter,Qwen/Qwen1.5-1.8B,,peft,,4,Unknown,,
GreenBitAI/Qwen-1.5-4B-layer-mix-bpw-2.5-alpaca,,,text-generation,transformers,apache-2.0,10,NLP,,
kowndinya23/flan2022-4096-128-tasks-200000-instances-eps-seed-69-mistral-7b-1-epoch,,,text-generation,transformers,,16,NLP,,
kowndinya23/lima-mistral-7b-5-epochs-alpha-1-beta-0.8,,,,,,47,Unknown,,
PeterLauLukCh/Qwen2.5-14B-Instruct-SFT,,,,,mit,9,Unknown,,
GoeJelson/thwndrss_v0,,,text-to-image,diffusers,creativeml-openrail-m,55,CV,,
VuTong/gemma-medical_qa-Finetune,,,text-generation,transformers,,11,NLP,,
brook-tesfa/brook-image,,,,,,0,Unknown,,
yamatazen/Ayla-Light-12B-v2,merge,"inflatebot/MN-12B-Mag-Mell-R1, NeverSleep/Lumimaid-v0.2-12B, yamatazen/Ayla-Light-12B, intervitens/mini-magnum-12b-v1.1",text-generation,transformers,,97,NLP,,
yifanqi/q,,,,,,0,Unknown,,
tscstudios/eea73e1e-92ca-40ae-8532-ed6af8e4fdba,,,,,,0,Unknown,,
dhananjay2912/lsg-bart-base-4096-pubmed-mediqa-chat-taskb-sectionwise-physical_exam,,,text2text-generation,transformers,,22,NLP,,
jakiAJK/internlm3-8b-instruct_GPTQ-int4,quantized,internlm/internlm3-8b-instruct,text-generation,transformers,,32,NLP,,
minimimtoy25/venlora,,,,,other,2,Unknown,,
Warlord-K/SegNext-FaceParser,,,,,mit,0,Unknown,,
disham993/electrical-classification-bert-large,finetune,google-bert/bert-large-uncased,text-classification,transformers,mit,27,NLP,disham993/ElectricalDeviceFeedbackBalanced,
mradermacher/KafkaLM-7B-German-V0.1-i1-GGUF,quantized,seedboxai/KafkaLM-7B-German-V0.1,,transformers,apache-2.0,211,Unknown,seedboxai/multitask_german_examples_32k,
eWZQXWGTGC/SlFybBWnnCfqPSa,,,,,,0,Unknown,,
anilarslan/test_model,,,,transformers,,0,Unknown,,
SoelMgd/Poker_LORA2,,,,,apache-2.0,0,Unknown,,
Nadir33/Chat_31,,,,,,0,Unknown,,
gokuls/distilbert_add_GLUE_Experiment_logit_kd_mrpc,,,text-classification,transformers,apache-2.0,18,NLP,glue,
RichardErkhov/vonjack_-_SmolLM2-135M-Merged-gguf,,,,,,35,Unknown,,
asenella/mhd128_alpha_90_beta_250_seed_0,,,,,apache-2.0,0,Unknown,,
aks1s/16Aks-1,,,text-generation,transformers,,11,NLP,,
mradermacher/L3-DARKER-PLANET-Broken-Land-12.15B-i1-GGUF,quantized,DavidAU/L3-DARKER-PLANET-Broken-Land-12.15B,,transformers,,209,Unknown,,
tranthaihoa/qwen2_2B_vl_dpo_3stage_lora_16bit,,,image-text-to-text,transformers,,22,Multimodal,,
hiroshi1991/llm-jp-3-13b-it,finetune,llm-jp/llm-jp-3-13b,,transformers,apache-2.0,0,Unknown,,
chiffonng/gemma2-9b-mnemonics-sft,finetune,unsloth/gemma-2-9b-bnb-4bit,text-generation,transformers,apache-2.0,13,NLP,,
BeaverAI/Cydonia-24B-v2d-GGUF,,,,,,9,Unknown,,
juliewan/LateNtMovies,,,text-to-image,diffusers,mit,11,CV,,
RichardErkhov/cognitivecomputations_-_MegaDolphin-120b-gguf,,,,,,57,Unknown,,
mradermacher/molr1-qwen-32b-GGUF,quantized,futurehouse/molr1-qwen-32b,,transformers,,45,Unknown,,
bunnycore/Qwen2.5-7B-TitanFusion-IQ4_XS-GGUF,quantized,bunnycore/Qwen2.5-7B-TitanFusion,,transformers,,7,Unknown,,
crybit/sdxl_E7OnX5P6EtRcGlLw,,,,,,0,Unknown,,
nhung03/b976390c-c91e-4e56-9715-8730aa9458c1,adapter,Qwen/Qwen2.5-7B-Instruct,,peft,apache-2.0,5,Unknown,,
rootflo/whisperv3_tel_eng_model_lora_1,,,,transformers,,0,Unknown,,
htio/finetuning-sentiment-model-3000-samples,,,,,,5,Unknown,,
rdv0011/trained-sd3,,,,,,0,Unknown,,
mgh6/esm_temp4,,,fill-mask,transformers,,50,NLP,,
plutosss/TEST,,,,,,0,Unknown,,
drawnwren/zephyr-7b-beta-2048-bs-4,,,text-generation,transformers,,12,NLP,,
SwamiHuman/cat-skateboard,,,,,,0,Unknown,,
nipanizo/nipanizo,,,,,other,1,Unknown,,
vignesh-spericorn/Llama-3.1-eng-mal-60-steps,,,,transformers,apache-2.0,9,Unknown,,
gary109/ai-light-dance_pretrain2_wav2vec2-large-xlsr-53,,,,transformers,,20,Unknown,,
ibm-research/MoLM-700M-8B,,,text-generation,transformers,apache-2.0,23,NLP,,
irishprancer/98b97bc6-7756-4a3c-b78d-2797e0f156d1,,,,,,0,Unknown,,
denisman/dippy_10,,,text-generation,transformers,,12,NLP,,
Amss007/ultrasound-controlnet-model,,,,diffusers,,1,Unknown,,
Condense-AI/Condenser-Llama-3.2-3B-Instruct-20241229-150953,,,,,,0,Unknown,,
FatCake/mendes_Flux,adapter,black-forest-labs/FLUX.1-dev,text-to-image,diffusers,other,1,CV,,
albertus-sussex/veriscrape-sbert-movie-reference_4_to_verify_6-fold-2,finetune,Alibaba-NLP/gte-base-en-v1.5,sentence-similarity,sentence-transformers,,10,NLP,,
Krabat/Qwen-Qwen1.5-7B-1722562027,adapter,Qwen/Qwen1.5-7B,,peft,,3,Unknown,,
ariimo/vit-Facial-Expression-Recognition,,,,,,5,Unknown,,
Tinybobo/LunarLander-v2,,,reinforcement-learning,stable-baselines3,,1,Reinforcement Learning,,
adammandic87/859d8f2e-0e4a-45c7-b6f1-c64118d42cca,adapter,unsloth/Qwen2.5-0.5B,,peft,apache-2.0,3,Unknown,,
sergioalves/b22980da-0ca7-4507-ac59-1e8d6d507c10,adapter,microsoft/Phi-3-mini-128k-instruct,,peft,mit,3,Unknown,,
manbull/Qwen-Qwen1.5-1.8B-1721119516,adapter,Qwen/Qwen1.5-1.8B,,peft,,3,Unknown,,
Hydroflu/RL_ft_t5_inversion_5000s_100i,,,text2text-generation,transformers,,34,NLP,,
Healthtech/an-lora,,,,,other,1,Unknown,,
xinhai342/lora-trained-crayon_drawing_style,adapter,stabilityai/stable-diffusion-xl-base-1.0,text-to-image,diffusers,openrail++,4,CV,,
digiplay/m3u,,,text-to-image,diffusers,other,24,CV,,
jj8127/llama3.2_for_chat,,,,,,1,Unknown,,
CristianJ/distilbert-base-uncased-finetuned-imdb,finetune,distilbert/distilbert-base-uncased,fill-mask,transformers,apache-2.0,46,NLP,,
MG31/v8_epoch50_8_1,,,,,,0,Unknown,,
Hhhhtt/Tails_y,,,,,apache-2.0,0,Unknown,,
pixiedream/EllaCamilleASMR,,,,,openrail,0,Unknown,,
Banki42/wanchan-uncased-spm-model,,,,,,39,Unknown,orchid_corpus,
freshwa/xftghft,,,,,mit,0,Unknown,,
sakthish123/llama-68m-f16,,,,,,9,Unknown,,
xinyixiuxiu/xinyixiuxiu-albert-base-v2-semR-nopretrain-20250128-1-epoch2,,,,,,0,Unknown,,
Romain-XV/58833ad4-242d-4525-8534-30a20c9cc90e,,,,,,7,Unknown,,
tronsdds/google-gemma-7b-1726809183,adapter,google/gemma-7b,,peft,,5,Unknown,,
Onutoa/5e-332200.2,,,,,,0,Unknown,,
LaLegumbreArtificial/SPIE_MULTICLASS_CHINA_1_2,finetune,Visual-Attention-Network/van-tiny,image-classification,transformers,apache-2.0,81,CV,,
mradermacher/Qwen1.5-0.4B-Chat-i1-GGUF,quantized,nathanrchn/Qwen1.5-0.4B-Chat,,transformers,other,24,Unknown,,
lvb-creator/kristofer123,adapter,black-forest-labs/FLUX.1-dev,text-to-image,diffusers,other,3,CV,,
xueyj/Qwen-Qwen1.5-0.5B-1726933440,adapter,Qwen/Qwen1.5-0.5B,,peft,,3,Unknown,,
nhoxinh/c5a48fcb-10eb-4fd6-9ac6-277c8eb8f1f2,adapter,jingyeom/seal3.1.6n_7b,,peft,,3,Unknown,,
VishnuPJ/MalayaLLM_Gemma_2_9B_Instruct_V1.0_GGUF,,,,,mit,8,Unknown,,
danielpedrozo/bert-portuguese-clf-sadness,,,,,,15,Unknown,,
distilbert/distilbert-base-cased,,,fill-mask,transformers,apache-2.0,260978,NLP,"bookcorpus, wikipedia",distill
alphahg/koelectra-72354302,,,,,,0,Unknown,,
nguyenthanhdo/bartpho-syllable-out,,,,,,0,Unknown,,
RichardErkhov/BramVanroy_-_GEITje-7B-ultra-sft-gguf,,,,,,9,Unknown,,
NumberOnePalFan/Pal,,,,,,0,Unknown,,
zelk12/MT2-gemma-2-9B,merge,"zelk12/MT2-IB-gemma-2-9B, zelk12/MT2-MMMAGMU-gemma-2-9B",text-generation,transformers,,85,NLP,,
LemTenku/checkpoint-3000V2,,,,,,55,Unknown,,
AIRI-Institute/HairFastGAN,,,image-to-image,,mit,0,CV,,
manbeast3b/ZZZZZZZZdriver219,,,text-generation,transformers,,25,NLP,,
patrickvonplaten/flax-wav2vec2-libri,,,,,,0,Unknown,,
kwinata/Kwinata,,,,,,0,Unknown,,
CYMBIOT/emctpoach,,,,,mit,0,Unknown,,
tahsinkheya/ppo-LunarLander-v2,,,reinforcement-learning,stable-baselines3,,2,Reinforcement Learning,,
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task829,,,,pytorch,mit,0,Unknown,,
geoartop/rl_course_vizdoom_health_gathering_supreme,,,reinforcement-learning,sample-factory,,0,Reinforcement Learning,,
Alptekinege/loras,,,,,,0,Unknown,,
NathanJLee/NLP2_Base_3e-4,finetune,NathanJLee/NLP2_Base_1e-4,text-classification,transformers,apache-2.0,26,NLP,,
yungplin/Naste,,,,,,0,Unknown,,
butter-cake/llama3_full_three_epoch,finetune,meta-llama/Llama-3.1-8B-Instruct,,,llama3.1,7,Unknown,,
Dracones/L3.3-Damascus-R1_exl2_3.5bpw,quantized,Steelskull/L3.3-Damascus-R1,text-generation,transformers,other,9,NLP,,
MuObver/temp-test,,,,,,0,Unknown,,
mradermacher/Llama-3-Instruct-8B-SimPO-SPPO-Iter3-merge-i1-GGUF,quantized,grimjim/Llama-3-Instruct-8B-SimPO-SPPO-Iter3-merge,,transformers,llama3,56,Unknown,,
thrunlab/t5-base_cola_dense_collected-stats_mare-mlp,,,,,,0,Unknown,,
alisared/Vasya_Lozhkin_Artstyle,adapter,stabilityai/stable-diffusion-xl-base-1.0,text-to-image,diffusers,openrail++,2,CV,,
Jeevesh8/bert-base-uncasedcola_ft_0,,,text-classification,transformers,,25,NLP,,
oyvindgrutle/amk-whisper-v3.5.3,,,automatic-speech-recognition,transformers,,12,Audio,,
yl4579/StyleTTS,,,,,mit,0,Unknown,,
sail-rvc/Anilorak,,,audio-to-audio,transformers,,11,Audio,,
debajyotim/swin-tiny-patch4-window7-224-finetuned-eurosat,,,,,,0,Unknown,,
LHRuig/hnrycvll2,adapter,black-forest-labs/FLUX.1-dev,text-to-image,diffusers,,3,CV,,
featherless-ai-quants/mdobbali-Qwen2.5-7B-Instruct-131K-GGUF,quantized,MasterControlAIML/Qwen2.5-7B-Instruct-131K,text-generation,,,2,NLP,,
irishprancer/c0816cad-f09e-4196-a4ae-6a0516136729,,,,,,0,Unknown,,
Xiaobai1231/Llama2_test1,,,,peft,,3,Unknown,,
femboysLover/kohaku-delta-XL,,,text-to-image,diffusers,,6,CV,,
vicl/canine-s-finetuned-stsb,,,text-classification,transformers,apache-2.0,34,NLP,glue,
lapaliv/lapaliv-51832-dRYYR,,,,,,8,Unknown,,
nischalpaudel/unified_geometric_model_image,,,,transformers,apache-2.0,0,Unknown,,
darkcosmo/chatbot,,,,,,0,Unknown,,
fc9999/develop_script_code_model,,,text-generation,transformers,apache-2.0,29,NLP,,
OS-Copilot/OS-Genesis-4B-WA,finetune,OpenGVLab/InternVL2-4B,image-text-to-text,transformers,apache-2.0,17,Multimodal,,
QCRI/bert-base-cased-sem,,,token-classification,transformers,cc-by-nc-4.0,35,NLP,,
kaamd/v4-20250519-155040,,,,,,11,Unknown,,
gstrauss/en_pipeline,,,token-classification,spacy,,1,NLP,,
nemowet88/DialoGPT-small-ricktest,,,text-generation,transformers,,20,NLP,,
selimercan/Qwen-Qwen1.5-0.5B-1728171470,adapter,Qwen/Qwen1.5-0.5B,,peft,,15,Unknown,,
agatsya/sso,,,,,apache-2.0,0,Unknown,,
princessapellido/test-class,,,text-classification,tf-keras,,3,NLP,,
YURIJ24/RyderGTA,,,,,creativeml-openrail-m,0,Unknown,,
rikurwyn/RichterBelmont,,,,,,0,Unknown,,
Farcshad/gemma-text-to-sql3,finetune,google/gemma-3-1b-pt,,transformers,,0,Unknown,,
VingeNie/whisper-tiny-zh_CN_lr4,finetune,openai/whisper-tiny,automatic-speech-recognition,transformers,apache-2.0,9,Audio,mozilla-foundation/common_voice_16_1,
psugam/classification_db,,,,,,0,Unknown,,
Katoceaser/tous-lora,adapter,black-forest-labs/FLUX.1-dev,text-to-image,diffusers,other,2,CV,,
Earthgen/earthgenmodels,,,,,,0,Unknown,,
manbeast3b/legend1_final_60,,,,,,0,Unknown,,
whatsupbr0/418c3942-2714-4891-b330-9d8782e1f3a6,,,,,,0,Unknown,,
UCLAML/Mistral-7B-Instruct-ppo_mistral,,,text-generation,transformers,,12,NLP,,
Shaileja06/my-pet-cat-xzg,,,text-to-image,diffusers,creativeml-openrail-m,6,CV,,
Brouz/MaximalSlerp,,,text-generation,transformers,llama2,15,NLP,,
MinaMila/llama_instbase_unlearned_GermanCredit_7ep_22,finetune,MinaMila/llama_instbase_unlearned_unsloth,text-generation,transformers,apache-2.0,13,NLP,,
maratos/whisperkit-coreml,,,,,,16,Unknown,,
AdapterHub/bert-base-multilingual-cased_tr_wiki_pfeiffer,,,fill-mask,adapter-transformers,apache-2.0,4,NLP,,
keiouok/whisper-large-ja-default-test-dev,,,,,,0,Unknown,,
mradermacher/coref-mem-small-GGUF,,,,transformers,apache-2.0,29,Unknown,,
wjbmattingly/92ny-gliner-v2,,,,,,0,Unknown,,
aarteem/detr-resnet-50_finetuned_cppe5,,,object-detection,transformers,,59,CV,,
medspaner/EriBERTa-clinical-trials-attributes,,,,,cc-by-nc-4.0,107,Unknown,,
NikolayKozloff/L3-8B-Lunaris-v1-IQ4_NL-GGUF,quantized,Sao10K/L3-8B-Lunaris-v1,,,llama3,10,Unknown,,
bowilleatyou/a9290eb1-765d-406b-acbe-cd6ba73ce94d,,,,transformers,,0,Unknown,,
XAIUnits/trained_BooleanAndDataset,,,,,,0,Unknown,,
jerseyjerry/Qwen-Qwen2-1.5B-1726049715,adapter,Qwen/Qwen2-1.5B,,peft,,5,Unknown,,
kwansikdev/test8,,,,,,0,Unknown,,
mradermacher/ChiseLLM-7B-Mix-i1-GGUF,quantized,observerw/ChiseLLM-7B,,transformers,mit,105,Unknown,"observerw/ChiseLLM-Completion, observerw/ChiseLLM-Decompile",
Sorawiz/MistralSmall-Creative-24B-Realist,merge,"ReadyArt/Forgotten-Abomination-24B-V2.2, TroyDoesAI/BlackSheep-24B, allura-org/MS3-24B-Roselily-Creative, OddTheGreat/Apparatus_24B, TheDrummer/Cydonia-24B-v2.1, Darkknight535/WinterEngine-24B-Instruct, ReadyArt/Forgotten-Safeword-24B-V2.0, ReadyArt/Forgotten-Safeword-24B-V2.2, trashpanda-org/MS-24B-Mullein-v1-lora, Nohobby/MS3-Tantum-24B-v0.1",text-generation,transformers,,129,NLP,,
isspek/roberta-base_zika_gpt4o_3_2e-5_16_undersampling_0.2,,,text-classification,transformers,,9,NLP,,
Contrastive-Tension/BERT-Distil-CT-STSb,,,feature-extraction,transformers,,54,NLP,,
Malonedsfdfgvv/NikkiPace,,,,,,0,Unknown,,
