Model ID,Type,Base Model
ramyakeerthyt/flan-t5-base,,
ramyakeerthyt/flan-t5-large,,
Resso/Bdgv2,,
Resso/BDDVCH,,
Illumotion/majicMIX-realistic-v5,,
Illumotion/MeinaHentai,,
DucHaiten/DucHaiten-FANCYxFANCY,,
DucHaiten/DucHaiten-GoldenLife,,
pnawrot/pnawrot,,
DucHaiten/DucHaiten-Retro,,
DucHaiten/test-sdxl,,
aciidix/sale_rvc2,,
aciidix/loiri2_rvc2,,
Scottviteri/TransformerAutoencoderLatentDim7,,
Scottviteri/TransformerAutoencoderLatentDim20,,
xoumyax/yaragen-xoumyax,finetune,openai-community/gpt2
xoumyax/yaragen1-xoumyax,finetune,openai-community/gpt2
zaveid/safe,,
OsirisRaptor/SpaceLlama,,
xoumyax/yaragen2-xoumyax,finetune,openai-community/gpt2
choasup/LLava-7B-v0,,
hattran/gpt2-vn-right-PROMPT_TUNING_CAUSAL_LM,,
RazzzHF/realismEngineSDXL,,
matthewchung74/llama-2-7b-sentiment-classifier,,
ND-GenAI/llama2-7b-fine-tuning,,
matthewchung74/llama-2-7b-sentiment-classifier-GGML-backup,,
matthewchung74/final_merged_checkpoint,,
Resso/bdgv11,,
matthewchung74/mistral-7b-mj-finetuned,,
matthewchung74/Mistral-7B-Instruct-v0.1-sharded-ner,,
matthewchung74/Mistral-7B-Instruct-v0.1-ner,,
arcanist009/beit-base-patch16-224-pt22k,,
MexicanVanGogh/segformer-b0-finetuned-segments-greenhouse-oct-23,finetune,nvidia/mit-b0
minstrelzxm/codegen-350M-mono-alpaca,,
peavers/path_to_saved_model,,
Akanksh2147/llama2-qlora-finetunined-french,adapter,TinyPixel/Llama-2-7B-bf16-sharded
andrewatef/llama2-openassistant,,
mesolitica/malaysian-mistral-7b-32k-instructions-AWQ,,
mesolitica/malaysian-llama2-7b-32k-instructions-AWQ,,
mesolitica/malaysian-llama2-13b-32k-instructions-AWQ,,
andrewatef/results_modified,,
andrewatef/my-awesome-model,,
andrewatef/myLlame2,,
andrewatef/llama2_test2,,
andrewatef/llama2_test3,,
andrewatef/llama2-llm,,
andrewatef/llama2-llm-GGML,,
andrewatef/myLlama2,adapter,unsloth/llama-2-7b
andrewatef/myLlama2-13b,,
andrewatef/myLlama2-GGML,,
lucifertrj/PubMed_Falcon-1B,adapter,tiiuae/falcon-rw-1b
jdp8/waifu-diffusion-onnx-v1-4,,
jdp8/stable-diffusion-1-5-base-onnx,,
io-roboto/vilt_finetuned_200,finetune,dandelin/vilt-b32-mlm
minstrelzxm/bloomz-560m_prompt_tuning,adapter,bigscience/bloomz-560m
io-roboto/vilt_finetuned_10000,,
io-roboto/vilt_finetuned_100000,finetune,dandelin/vilt-b32-mlm
9voltfan2009/WarioWare-RVC,,
akshayaithalexp/en_pipeline,,
akshayaithalexp/en_core_web_trf,,
akshayaithalexp/similarity_model,,
amaru96vn/Lora_DangerAngel,,
amaru96vn/Lora_CHINA_clother_style,,
amaru96vn/Re_Face_girl,,
phucpx247/phobert-base-bi-encoder,,
andrewatef/newPRO,,
andrewatef/sdfasdf,adapter,unsloth/llama-2-7b
andrewatef/sdfasdf-GGML,,
andrewatef/SalesmanV0.1,adapter,unsloth/llama-2-7b
andrewatef/SalesmanV0.1-GGML,,
gfxgame/Itachi,,
andrewatef/RewriterV0.1,adapter,unsloth/llama-2-7b
andrewatef/RewriterV0.1-GGML,,
andrewatef/RewriterV0.2,adapter,unsloth/llama-2-7b
andrewatef/RewriterV0.2-GGML,,
diffusion-inc/week2,,
diffusion-inc/week3,,
andrewatef/RewriterV0.3,adapter,unsloth/llama-2-7b
andrewatef/RewriterV0.3-GGML,,
andrewatef/RewriterV0.4,adapter,unsloth/llama-2-7b
andrewatef/RewriterV0.4-GGML,,
andrewatef/RewriterV0.5,adapter,unsloth/llama-2-7b
andrewatef/RewriterV0.5-GGML,,
andrewatef/RewriterV0.6,adapter,unsloth/llama-2-7b
andrewatef/RewriterV0.6-GGML,,
diffusion-inc/detail,,
diffusion-inc/Vector,,
andrewatef/RewriterV0.7,adapter,unsloth/llama-2-7b
andrewatef/RewriterV0.7-GGML,,
diffusion-inc/Week4,,
andrewatef/RewriterV0.8,adapter,unsloth/llama-2-7b
andrewatef/RewriterV0.8-GGML,,
andrewatef/RewriterV0.9,adapter,unsloth/llama-2-7b
andrewatef/RewriterV0.9-GGML,,
andrewatef/RewriterV0.10,adapter,unsloth/llama-2-7b
andrewatef/RewriterV0.10-GGML,,
andrewatef/RewriterV0.11,adapter,unsloth/llama-2-7b
mljn/ecca-climate-classifier,finetune,microsoft/deberta-v3-base
andrewatef/RewriterV0.11-GGML,,
andrewatef/RewriterV0.12,adapter,unsloth/llama-2-7b
andrewatef/RewriterV0.12-GGML,,
andrewatef/myBloggerV0.1,adapter,unsloth/llama-2-7b
andrewatef/myBloggerV0.1-GGML,,
andrewatef/phi2-myBlogger,,
dearxoasis/whisper-small-fm,finetune,openai/whisper-small
diffusion-inc/Week_5_SUmmer_and_Girlfriends,,
dearxoasis/whisper-combined-fm,,
seungduk/Bookworm-10.7B-v0.1,adapter,yanolja/KoSOLAR-10.7B-v0.1-deprecated
seungduk/Bookworm-10.7B-v0.2,,
seungduk/Bookworm-10.7B-v0.3,,
andrewatef/myBloggerV0.2,adapter,unsloth/llama-2-7b
andrewatef/myBloggerV0.2-GGML,,
stmackcat/zephyr-beta-ft-prompt-templ-2-model,,
andrewatef/TopQ-A,adapter,unsloth/llama-2-7b
andrewatef/TopQ-A-GGML,,
andrewatef/myBloggerV0.3,adapter,unsloth/llama-2-13b
andrewatef/myBloggerV0.4,adapter,unsloth/llama-2-7b
andrewatef/myBloggerV0.4-GGML,,
diffusion-inc/WK6,,
andrewatef/myBloggerV0.5,,
andrewatef/myBloggerV0.5-GGML,,
andrewatef/myBloggerV0.6,,
andrewatef/myBloggerV0.6-GGML,,
andrewatef/CoolReblyer,,
andrewatef/CoolReblyer-GGML,,
andrewatef/MyBloggerV0.7,adapter,unsloth/llama-2-7b
andrewatef/MyBloggerV0.7-GGML,,
sgazali/T5_trained_on_opus_book_corpus,finetune,google-t5/t5-large
andrewatef/MyBloggerV0.8,adapter,unsloth/llama-2-7b
andrewatef/MyBloggerV0.8-GGML,,
andrewatef/PText,,
andrewatef/PText-GGML,,
andrewatef/MyBloggerV0.9,adapter,unsloth/llama-2-7b
andrewatef/MyBloggerV0.9-GGML,,
PavlosPoulos/DumbModelForExerciseSomething,,
sevvalozdamar/gpt2-story-generator-model,,
PavlosPoulos/distilbert-pos-tagger,,
PavlosPoulos/txt_cls_example,finetune,distilbert/distilbert-base-uncased
io-roboto/ppo-LunarLander-v2,,
io-roboto/ppo-Huggy,,
andrewatef/MyBloggerV0.10,adapter,unsloth/llama-2-7b
andrewatef/MyBloggerV0.10-GGML,,
diffusion-inc/Week7,,
andrewatef/MyBloggerV0.11,,
io-roboto/q-FrozenLake-v1-4x4-noSlippery,,
io-roboto/q-Taxi-v3,,
io-roboto/q-FrozenLake-v1-8x8,,
andrewatef/MyBloggerV0.12,,
io-roboto/dqn-SpaceInvadersNoFrameskip-v4,,
Bruce1489/distilbert-base-uncased-finetuned-emotion,,
andrewatef/MyBloggerV0.13,adapter,unsloth/tinyllama
andrewatef/MyBloggerV0.14,quantized,unsloth/tinyllama
io-roboto/Reinforce-Cartpole-v1,,
HatimF/my_awesome_billsum_model,finetune,google-t5/t5-small
diffusion-inc/Week8,,
io-roboto/reinforce-Pixelcopter-PLE-v0,,
io-roboto/ppo-SnowballTarget,,
io-roboto/ppo-Pyramids,,
HatimF/bart_booksum_2,finetune,facebook/bart-base
io-roboto/a2c-PandaReachDense-v3,,
io-roboto/ppo-SoccerTwos,,
mesolitica/malaysian-mistral-7b-32k-instructions-v4-AWQ,,
mesolitica/mallam-1.1b-20k-instructions-v2-AWQ,,
HatimF/gren_1,,
GilbertClaus/Bunker,,
io-roboto/rl_course_vizdoom_health_gathering_supreme,,
io-roboto/ppo-LunarLander-v2-custom,,
stmackcat/zepb-paragraphs-dt19022024-13-merged-padding-slide-r,,
stmackcat/zepb-paragraphs-dt19022024-14-merged,,
diffusion-inc/Week9,,
argmaxinc/whisperkit-coreml_01-30-24,,
stmackcat/zepb-only-paragraphs-merged,,
stmackcat/zepb-only-dt19022024-merged,,
stmackcat/zepb-paragraphs-dt19022024-combined-merged,,
stmackcat/zepb-books-dt19022024-1-merged,,
stmackcat/zepb-books-dt19022024-2-merged,,
stmackcat/zepb-books-dt19022024-3-merged,,
diffusion-inc/Week10,,
stmackcat/zepb-books-dt19022024-4-merged,,
io-roboto/decision-transformer,,
sgazali/CroissantLLM,,
diffusion-inc/Week11,,
stmackcat/autotrain-xzg1a-3i9r2-merged,,
stmackcat/zepb-books-4-merged,,
stmackcat/zepb-books-5-merged,,
stmackcat/zepb-cyberiada-eng-1-merged,,
stmackcat/zepb-cyberiada-1-merged,,
stmackcat/zepb-books-6-merged,,
stmackcat/zepb-mk-1-merged,,
stmackcat/zepb-mk-ger-1-merged,,
diffusion-inc/Week12,,
diffusion-inc/Week13,,
yuhuizhang/finetuned_distilgpt2_pretrainedTrue_mrpc_new_epochs5,,
mesolitica/malaysian-mistral-7b-32k-instructions-v5,,
yuhuizhang/finetuned_distilgpt2_pretrainedTrue_mrpc_new_epochs20,,
mesolitica/malaysian-tinyllama-1.1b-16k-instructions-v4,,
diffusion-inc/Week14,,
diffusion-inc/Week15,,
yuhuizhang/finetuned_gpt2-medium_pretrainedTrue_mrpc_new_epochs20,,
yuhuizhang/finetuned_gpt2-medium_pretrainedTrue_epochs3,,
yuhuizhang/finetuned_gpt2_pretrainedTrue_epochs3,,
yuhuizhang/finetuned_gpt2_pretrainedTrue_cola_epochs3,,
yuhuizhang/finetuned_gpt2-medium_pretrainedTrue_cola_epochs3,,
yuhuizhang/finetuned_gpt2_pretrainedTrue_mrpc_new_epochs20,,
zahidhasta/bbc,,
Resso/Realistic_Vision_v6,,
Resso/Magicmix,,
Resso/Chilloutmix,,
Sevain/asr-wav2vec2-LB7K-spontaneous-ALL-fr,,
Sevain/asr-wav2vec2-LB7K-ALL-fr,,
soupslurpr/transcribro-models-whisper,,
Juanfur/Furryblend_v1.0,,
Emperror77709/Codmconfig,,
mobina1380/whisper-small-persian,,
Floris111/FloatGPT,,
Floris111/floatgpt2,,
androidagent/mistral-7b-finetuned-ultrachat,,
Floris111/FloLLama2,,
JorgeTC/communications_PAR_model.pt,,
wineg/M2,,
vangard703/DPO-PairRM-5-SMI-lr-1e6-iteration-5-t-7e-beta-15e3-1-iteration-smi-2-candidiate-6e1-confidence,,
nurdy/p50k_edit,,
vangard703/DPO-PairRM-5-SMI-lr-1e6-iteration-5-t-7e-beta-15e3-2-iteration-6e1-confidence,,
vangard703/DPO-PairRM-5-SMI-lr-1e6-iteration-5-t-7e-beta-15e3-1-iteration-6e1-confidence,finetune,mistralai/Mistral-7B-Instruct-v0.2
vangard703/DPO-PairRM-5-SMI-lr-1e6-iteration-5-t-7e-beta-15e3-1-iteration-6e1-confidence-D1-D2_smi,finetune,mistralai/Mistral-7B-Instruct-v0.2
pe-nlp/llama2-70b-nemo,,
Goekdeniz-Guelmez/minicpm-2b-safetensors-q4,,
vangard703/DPO-PairRM-5-SMI-lr-1e6-iteration-5-t-7e-beta-15e3-1-iteration-baseline-D1-2e-D2_smi-1,finetune,mistralai/Mistral-7B-Instruct-v0.2
mesolitica/malaysian-tinyllama-1.1b-16k-instructions-v4-marlin,,
mesolitica/malaysian-mistral-7b-32k-instructions-v4-marlin,,
uisikdag/diffusers-DDPMPipeline-butterflies-128,,
uisikdag/diffusers-DDPMPipeline-robin-plus,,
uisikdag/diffusers-DDPMPipeline-robin,,
Konark-HC/autotrain-n91is-yrclo,,
Konark-HC/autotrain-y5fnj-qjq2l,,
emrecanacikgoz/hamza-medium,,
Konark-HC/autotrain-hyyfj-borac,,
MinhViet/Viet1,,
MinhViet/Viet2,,
MinhViet/Bartpho,,
ai-tools-searchs/orange,,
MinhViet/bartpho-linear,,
ghost613/gemma2_on_korean_summary,adapter,beomi/gemma-ko-2b
ghost613/phi3_on_korean_summary,adapter,microsoft/Phi-3-mini-4k-instruct
MinhViet/bartpho-quesntion-without-content,,
MinhViet/bartpho-linear-test1,,
MinhViet/bartpho-linear-test2,,
MinhViet/bartpho-linear-test4,,
MinhViet/test,,
MinhViet/test1,,
ghost613/gemma2_on_korean_events,adapter,beomi/gemma-ko-2b
ghost613/phi3_on_korean_events,adapter,microsoft/Phi-3-mini-4k-instruct
ghost613/gemma7_on_korean_conv,adapter,beomi/gemma-ko-7b
MinhViet/CL3epoch,,
MinhViet/CL5epoch,,
lianghsun/tw-legal-tokenizer,,
MinhViet/CL4epoch,,
MinhViet/CL4epochnew,,
iwaitu/llama-3-70b-chinese-function-calling-GGUF-4bit,,
MinhViet/bartpho-linear2,,
unineat/example-model,,
PetaniHandal/sentence-transformer,,
iwaitu/llama3-70b-chinese-function-calling-4bit,,
mesolitica/malaysian-llama-3-8b-instruct-16k-post,,
Suraponn/test_llama3_chk10000,,
Suraponn/test_llama3_chk15000,,
gglabs/TinyLM-1B-test2,,
ghost613/gemma7_on_korean_events,adapter,beomi/gemma-ko-7b
ivilson/glm-4-9b-chat-1m-function-calling,,
gglabs/EEVE-light,finetune,yanolja/EEVE-Korean-Instruct-10.8B-v1.0
gglabs/TinyLM-Chat-0609,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/EEVE-light-0-epoch,quantized,yanolja/EEVE-Korean-Instruct-10.8B-v1.0
gglabs/EEVE-light-90-epoch,quantized,yanolja/EEVE-Korean-Instruct-10.8B-v1.0
gglabs/Gemma-2B-FC-0-epoch,quantized,unsloth/gemma-2b-it-bnb-4bit
gglabs/Mistral-7B-FC-0-epoch,quantized,unsloth/mistral-7b-instruct-v0.3-bnb-4bit
gglabs/TinyLM-Chat-0609-public,,
gglabs/TinyLM-FC-0-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/TinyLM-FC-9-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/Mistral-7B-FC-10-epoch,quantized,unsloth/mistral-7b-instruct-v0.3-bnb-4bit
gglabs/Mistral-7B-FC-20-epoch,quantized,unsloth/mistral-7b-instruct-v0.3-bnb-4bit
gglabs/Mistral-7B-FC-30-epoch,quantized,unsloth/mistral-7b-instruct-v0.3-bnb-4bit
gglabs/Mistral-7B-FC-40-epoch,quantized,unsloth/mistral-7b-instruct-v0.3-bnb-4bit
gglabs/TinyLM-Chat-1-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/TinyLM-Chat-0611-1-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/TinyLM-Chat-0611-2-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/TinyLM-Chat-0611-3-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/TinyLM-Chat-0611-4-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/Gemma-ko-2.5B-Chat-1-epoch,quantized,gemmathon/gemma-2b-ko-dev-pbmt192
gglabs/TinyLM-Chat-0611-5-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/TinyLM-Chat-0611-6-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/TinyLM-Chat-0611-7-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/TinyLM-Chat-0611-8-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/TinyLM-Chat-0611-9-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/TinyLM-Chat-0611-10-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/TinyLM-Chat-0611-11-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/TinyLM-Chat-0611-12-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/Gemma-ko-2.5B-Chat-11-epoch,quantized,gemmathon/gemma-2b-ko-dev-pbmt192
gglabs/TinyLM-Chat-0612-31-epoch,quantized,gglabs/TinyLM-Chat-0611-11-epoch
gglabs/Gemma-ko-2.5B-Chat-21-epoch,quantized,gemmathon/gemma-2b-ko-dev-pbmt192
gglabs/Gemma-ko-2.5B-Chat-31-epoch,quantized,gemmathon/gemma-2b-ko-dev-pbmt192
gglabs/Gemma-ko-2.5B-Chat-41-epoch,quantized,gemmathon/gemma-2b-ko-dev-pbmt192
gglabs/Gemma-ko-2.5B-Chat-51-epoch,quantized,gemmathon/gemma-2b-ko-dev-pbmt192
gglabs/Gemma-2B-0612-FC-121-epoch,quantized,unsloth/gemma-2b-it-bnb-4bit
gglabs/Solar-10B-Chat-10-epoch,quantized,chihoonlee10/T3Q-ko-solar-dpo-v7.0
gglabs/TinyLM-Chat-0612-4dataset-10-epoch,quantized,gglabs/TinyLM-Chat-0611-11-epoch
gglabs/Solar-10B-Chat-20-epoch,quantized,chihoonlee10/T3Q-ko-solar-dpo-v7.0
gglabs/TinyLM-Chat-0612-4dataset-20-epoch,quantized,gglabs/TinyLM-Chat-0611-11-epoch
gglabs/Finetuning-test-1-epoch,quantized,unsloth/tinyllama-bnb-4bit
gglabs/Solar-10B-FC-100-epoch,quantized,chihoonlee10/T3Q-ko-solar-dpo-v7.0
tuan2308/aniverse,,
gglabs/Gemma-kiosk-scenario-1-epoch,quantized,gemmathon/gemma-2b-ko-dev-pbmt192
gglabs/Gemma-kiosk-scenario-11-epoch,quantized,gemmathon/gemma-2b-ko-dev-pbmt192
gglabs/Gemma-kiosk-scenario-21-epoch,quantized,gemmathon/gemma-2b-ko-dev-pbmt192
gglabs/Gemma-kiosk-scenario-31-epoch,quantized,gemmathon/gemma-2b-ko-dev-pbmt192
goatley/sentiment-analysis_text,,
MexicanVanGogh/segformer-b0-finetuned-segments-greenhouse-jun-24,finetune,nvidia/mit-b0
Arisp123/fully_trained_mlm_large,,
iproskurina/mt0_hate_finedtune_r2,,
iproskurina/mt0_hate_finedtune_r4,,
iproskurina/mt0_hate_finedtune_r8,,
iproskurina/mt0_hate_finedtune_r16,,
iproskurina/mt0_hate_finedtune_r32,,
pe-nlp/llama2-13b-nemo,,
gglabs/Solar-kiosk-scenario-1-epoch,quantized,chihoonlee10/T3Q-ko-solar-dpo-v7.0
gglabs/Gemma-kiosk-scenario-2-epoch,quantized,gemmathon/gemma-2b-ko-dev-pbmt192
gglabs/Gemma-kiosk-scenario-3-epoch,quantized,gemmathon/gemma-2b-ko-dev-pbmt192
gglabs/Gemma-kiosk-scenario-4-epoch,quantized,gemmathon/gemma-2b-ko-dev-pbmt192
gglabs/Gemma-kiosk-scenario-5-epoch,quantized,gemmathon/gemma-2b-ko-dev-pbmt192
gglabs/Solar-kiosk-scenario-2-epoch,finetune,gglabs/Solar-kiosk-scenario-1-epoch
gglabs/Gemma-kiosk-scenario-6-epoch,quantized,gemmathon/gemma-2b-ko-dev-pbmt192
gglabs/Gemma-kiosk-scenario-7-epoch,quantized,gemmathon/gemma-2b-ko-dev-pbmt192
rmezapi/dementia-bank-seq-classif-xlnet,,
ai-tools-searchs/illustrious,,
gglabs/TinyLM-kiosk-scenario-1-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/TinyLM-kiosk-scenario-2-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/TinyLM-kiosk-scenario-3-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
gglabs/TinyLM-kiosk-scenario-4-epoch,quantized,unsloth/tinyllama-chat-bnb-4bit
nico-doering/alpaca-llama3-finetune-fake-med,,
gglabs/SOLAR-0712-kiosk-scenario-1-epoch,quantized,chihoonlee10/T3Q-ko-solar-dpo-v7.0
gglabs/SOLAR-0712-kiosk-scenario-2-epoch,quantized,chihoonlee10/T3Q-ko-solar-dpo-v7.0
gglabs/SOLAR-0712-kiosk-scenario-3-epoch,quantized,chihoonlee10/T3Q-ko-solar-dpo-v7.0
gglabs/SOLAR-0712-kiosk-scenario-4-epoch,quantized,chihoonlee10/T3Q-ko-solar-dpo-v7.0
iwaitu/Gemma-2-9b-chinese-chat-fp16-cuda-onnx,,
iwaitu/Gemma-2-27b-chinese-chat-int4-cuda-onnx,,
iwaitu/Gemma-2-27b-chinese-Chat-FP16-Cuda-Onnx,,
seungduk/gemma-tokenizer,,
Suraponn/new_model1,adapter,meta-llama/Meta-Llama-3-8B
Suraponn/merge_llama3_thai,,
L-Inuri/whisper-small-hi,,
iwaitu/llama-3.1-70b-chinese-chat-AWQ-4bit,quantized,shenzhi-wang/Llama3.1-70B-Chinese-Chat
iwaitu/llama-3.1-70b-chinese-chat-FP8,quantized,shenzhi-wang/Llama3.1-70B-Chinese-Chat
kayrab/doktor-Daredevil-Novus-7b,finetune,NovusResearch/Novus-7b-tr_v1
kayrab/doktor-Daredevil-Novus-7b-lora,finetune,NovusResearch/Novus-7b-tr_v1
adamo1139/Yi-34B-200K-HESOYAM-TURTLE-0208,,
Resso/bdgXL30,,
Resso/bdgXL30a,,
owenpastor21/color,,
owenpastor21/tinyllama-colorist-v1,,
